Mes,Tarifa,Segmento,Unidades,Concepto,Division,Int. Horario,Cargos tarifarios
enero 2020,APBT,CENACE,$/kWh,Energia,Jalisco,NA,0.0080
enero 2020,APMT,CENACE,$/kWh,Energia,Jalisco,NA,0.0080
enero 2020,GDMTH,CENACE,$/kWh,Energia,Jalisco,NA,0.0080
enero 2020,GDMTO,CENACE,$/kWh,Energia,Jalisco,NA,0.0080
enero 2020,RAMT,CENACE,$/kWh,Energia,Jalisco,NA,0.0080
enero 2020,DIST,CENACE,$/kWh,Energia,Jalisco,NA,0.0080
enero 2020,DIT,CENACE,$/kWh,Energia,Jalisco,NA,0.0080
enero 2020,DB1,CENACE,$/kWh,Energia,Noroeste,NA,0.0080
enero 2020,DB2,CENACE,$/kWh,Energia,Noroeste,NA,0.0080
enero 2020,PDBT,CENACE,$/kWh,Energia,Noroeste,NA,0.0080
enero 2020,GDBT,CENACE,$/kWh,Energia,Noroeste,NA,0.0080
enero 2020,RABT,CENACE,$/kWh,Energia,Noroeste,NA,0.0080
enero 2020,APBT,CENACE,$/kWh,Energia,Noroeste,NA,0.0080
enero 2020,APMT,CENACE,$/kWh,Energia,Noroeste,NA,0.0080
enero 2020,GDMTH,CENACE,$/kWh,Energia,Noroeste,NA,0.0080
enero 2020,GDMTO,CENACE,$/kWh,Energia,Noroeste,NA,0.0080
enero 2020,RAMT,CENACE,$/kWh,Energia,Noroeste,NA,0.0080
enero 2020,DIST,CENACE,$/kWh,Energia,Noroeste,NA,0.0080
enero 2020,DIT,CENACE,$/kWh,Energia,Noroeste,NA,0.0080
enero 2020,DB1,CENACE,$/kWh,Energia,Norte,NA,0.0080
enero 2020,DB2,CENACE,$/kWh,Energia,Norte,NA,0.0080
enero 2020,PDBT,CENACE,$/kWh,Energia,Norte,NA,0.0080
enero 2020,GDBT,CENACE,$/kWh,Energia,Norte,NA,0.0080
enero 2020,RABT,CENACE,$/kWh,Energia,Norte,NA,0.0080
enero 2020,APBT,CENACE,$/kWh,Energia,Norte,NA,0.0080
enero 2020,APMT,CENACE,$/kWh,Energia,Norte,NA,0.0080
enero 2020,GDMTH,CENACE,$/kWh,Energia,Norte,NA,0.0080
enero 2020,GDMTO,CENACE,$/kWh,Energia,Norte,NA,0.0080
enero 2020,RAMT,CENACE,$/kWh,Energia,Norte,NA,0.0080
enero 2020,DIST,CENACE,$/kWh,Energia,Norte,NA,0.0080
enero 2020,DIT,CENACE,$/kWh,Energia,Norte,NA,0.0080
enero 2020,DB1,CENACE,$/kWh,Energia,Oriente,NA,0.0080
enero 2020,DB2,CENACE,$/kWh,Energia,Oriente,NA,0.0080
enero 2020,PDBT,CENACE,$/kWh,Energia,Oriente,NA,0.0080
enero 2020,GDBT,CENACE,$/kWh,Energia,Oriente,NA,0.0080
enero 2020,RABT,CENACE,$/kWh,Energia,Oriente,NA,0.0080
enero 2020,APBT,CENACE,$/kWh,Energia,Oriente,NA,0.0080
enero 2020,APMT,CENACE,$/kWh,Energia,Oriente,NA,0.0080
enero 2020,GDMTH,CENACE,$/kWh,Energia,Oriente,NA,0.0080
enero 2020,GDMTO,CENACE,$/kWh,Energia,Oriente,NA,0.0080
enero 2020,RAMT,CENACE,$/kWh,Energia,Oriente,NA,0.0080
enero 2020,DIST,CENACE,$/kWh,Energia,Oriente,NA,0.0080
enero 2020,DIT,CENACE,$/kWh,Energia,Oriente,NA,0.0080
enero 2020,DB1,CENACE,$/kWh,Energia,Peninsular,NA,0.0080
enero 2020,DB2,CENACE,$/kWh,Energia,Peninsular,NA,0.0080
enero 2020,PDBT,CENACE,$/kWh,Energia,Peninsular,NA,0.0080
enero 2020,GDBT,CENACE,$/kWh,Energia,Peninsular,NA,0.0080
enero 2020,RABT,CENACE,$/kWh,Energia,Peninsular,NA,0.0080
enero 2020,APBT,CENACE,$/kWh,Energia,Peninsular,NA,0.0080
enero 2020,APMT,CENACE,$/kWh,Energia,Peninsular,NA,0.0080
enero 2020,GDMTH,CENACE,$/kWh,Energia,Peninsular,NA,0.0080
enero 2020,GDMTO,CENACE,$/kWh,Energia,Peninsular,NA,0.0080
enero 2020,RAMT,CENACE,$/kWh,Energia,Peninsular,NA,0.0080
enero 2020,DIST,CENACE,$/kWh,Energia,Peninsular,NA,0.0080
enero 2020,DIT,CENACE,$/kWh,Energia,Peninsular,NA,0.0080
enero 2020,DB1,CENACE,$/kWh,Energia,Sureste,NA,0.0080
enero 2020,DB2,CENACE,$/kWh,Energia,Sureste,NA,0.0080
